eventID,eventDate,eventTime,decimalLatitude,decimalLongitude,verbatimIdentification,scientificName,vernacularName,eventRemarks
bsp140154874,2022-10-07,2022-10-07 13:56:50 UTC,39.9817705883,-75.1553482115,Common Yellowthroat,Geothlypis trichas,Common Yellowthroat,Had ants on head
bsp140155933,2022-10-07,2022-10-07 12:11:48 UTC,39.9819753025,-75.1556740042,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Collected for Philly Bird Safe
bsp140160368,2022-10-27,2022-10-27 15:20:55 UTC,39.9816644994,-75.1526553408,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,
bsp140183230,2022-10-27,2022-10-27 19:59:27 UTC,39.95398,-75.1912166667,Ruby-crowned Kinglet,Corthylio calendula,Ruby-crowned Kinglet,
bsp140189132,2022-10-27,2022-10-27 21:06:54 UTC,39.9807830037,-75.1576413896,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,Smashed. No bag to collect
bsp140205540,2022-10-27,2022-10-27 13:51:40 UTC,39.9808523,-75.1564020997,Golden-crowned Kinglet,Regulus satrapa,Golden-crowned Kinglet,
bsp140205560,2022-10-27,2022-10-27 14:18:25 UTC,39.9811898,-75.1527483997,Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,
bsp140256844,2022-10-28,2022-10-28 13:52:29 UTC,39.9818676252,-75.1553265822,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140262638,2022-10-28,2022-10-28 14:57:29 UTC,39.9811192731,-75.1530084467,Song Sparrow,Melospiza melodia,Song Sparrow,Collected for Philly bird safe.
bsp140288700,2022-10-28,2022-10-28 13:12:28 UTC,39.994495,-75.2389216667,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140308780,2022-10-28,2022-10-28 15:27:15 UTC,39.9806075997,-75.1560575,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140308815,2022-10-28,2022-10-28 15:27:38 UTC,39.9806075997,-75.1560575,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp140308846,2022-10-28,2022-10-28 15:27:58 UTC,39.9806075997,-75.1560575,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140308994,2022-10-28,2022-10-28 16:34:25 UTC,39.9805789997,-75.1561894,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140309184,2022-10-28,2022-10-28 16:34:19 UTC,39.9805763,-75.1561968997,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp140309252,2022-10-28,2022-10-28 21:05:47 UTC,39.9809367,-75.1520641997,Eastern Towhee,Pipilo erythrophthalmus,Eastern Towhee,
bsp140309677,2022-10-28,2022-10-28 15:30:00 UTC,39.9817024137,-75.1532958448,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,
bsp140558374,2022-10-30,2022-10-30 19:27:05 UTC,39.9514277778,-75.1988555556,Tennessee Warbler,Leiothlypis peregrina,Tennessee Warbler,
bsp140663455,2022-10-31,2022-10-31 15:04:08 UTC,39.9815466667,-75.1524111667,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,Collected for bird safe Philly
bsp140683280,2022-10-31,2022-10-31 18:33:49 UTC,39.9804833333,-75.153375,White-throated Sparrow,Zonotrichia albicollis,White-throated Sparrow,
bsp140913744,2022-11-02,2022-11-02 21:08:43 UTC,39.9539616667,-75.191475,Dark-eyed Junco,Junco hyemalis,Dark-eyed Junco,
bsp140972050,2022-11-02,2022-11-02 15:54:19 UTC,39.9829179697,-75.1534278907,Swamp Sparrow,Melospiza georgiana,Swamp Sparrow,"Window strike. A but degraded, feathers falling off when moved."
bsp140972743,2022-11-02,2022-11-02 15:54:48 UTC,39.9829196665,-75.1535456676,Song Sparrow,Melospiza melodia,Song Sparrow,Window strike. Not collected
bsp140972844,2022-11-02,2022-11-02 15:55:18 UTC,39.9829795752,-75.1536865281,Field Sparrow,Spizella pusilla,Field Sparrow,Window strike. Not collected due to maggots.
bsp140976497,2022-09-28,2022-09-28 12:05:00 UTC,39.911533,-75.363713,Gray-cheeked Thrush,Catharus minimus,Gray-cheeked Thrush,"Found on the front porch of 320 Crestview Circle (parents' house). Below large picture window. Covered porch open on two sides. Plain glass - no window treatment for birds. The photo of the bird upside down on the basket-weave chair shows how the bird was found. The other two photos were taken after the bird was moved to document it colors and condition. These photos were processed with a calibrated color profile and white balance chosen to match the scene. I have raw unprocessed photos available if desired as well.
One of the included photos shows the location the bird was found (arrow pointing at chair on which it was found)."
